0,1,0.461393
0,2,0.124206
0,3,0.364442
0,4,0.473540
0,5,0.802773
0,6,0.599147
0,7,0.978319
0,8,0.686607
0,9,0.094194
0,10,0.947749
0,11,0.015127
0,12,0.424588
0,13,0.599918
0,14,0.414925
0,15,0.242057
0,16,0.007733
0,17,0.384058
1,2,0.808494
1,3,0.400023
1,4,0.306487
1,5,0.369314
1,6,0.726650
1,7,0.896991
1,8,0.991520
1,9,0.029269
1,10,0.461142
1,11,0.986266
1,12,0.095668
1,13,0.694387
1,14,0.445185
1,15,0.815146
1,16,0.345845
1,17,0.578111
2,3,0.888844
2,4,0.452882
2,5,0.802367
2,6,0.103400
2,7,0.147400
2,8,0.672801
2,9,0.360165
2,10,0.705636
2,11,0.543503
2,12,0.669815
2,13,0.795519
2,14,0.724729
2,15,0.207743
2,16,0.483143
2,17,0.636223
3,4,0.618503
3,5,0.332902
3,6,0.191948
3,7,0.834727
3,8,0.848778
3,9,0.258072
3,10,0.521184
3,11,0.678898
3,12,0.524703
3,13,0.563798
3,14,0.854690
3,15,0.310925
3,16,0.975460
3,17,0.685598
4,5,0.782276
4,6,0.057554
4,7,0.220181
4,8,0.022769
4,9,0.368241
4,10,0.756796
4,11,0.833119
4,12,0.214205
4,13,0.705866
4,14,0.943969
4,15,0.323758
4,16,0.777739
4,17,0.213954
5,6,0.280234
5,7,0.856575
5,8,0.315820
5,9,0.255799
5,10,0.012419
5,11,0.186176
5,12,0.736167
5,13,0.669620
5,14,0.500449
5,15,0.513416
5,16,0.624256
5,17,0.075979
6,7,0.415536
6,8,0.408113
6,9,0.884434
6,10,0.032908
6,11,0.786557
6,12,0.707222
6,13,0.943975
6,14,0.471873
6,15,0.100457
6,16,0.823675
6,17,0.387841
7,8,0.843706
7,9,0.509735
7,10,0.588003
7,11,0.474350
7,12,0.376784
7,13,0.800124
7,14,0.160957
7,15,0.242119
7,16,0.944476
7,17,0.541415
8,9,0.069414
8,10,0.765460
8,11,0.125949
8,12,0.773044
8,13,0.642347
8,14,0.362490
8,15,0.588492
8,16,0.559672
8,17,0.862576
9,10,0.809763
9,11,0.389910
9,12,0.144893
9,13,0.872179
9,14,0.136540
9,15,0.139929
9,16,0.020209
9,17,0.485360
10,11,0.167155
10,12,0.323049
10,13,0.375958
10,14,0.739011
10,15,0.981079
10,16,0.139118
10,17,0.767535
11,12,0.950551
11,13,0.881616
11,14,0.771320
11,15,0.178965
11,16,0.117640
11,17,0.692947
12,13,0.792105
12,14,0.821837
12,15,0.059772
12,16,0.590839
12,17,0.471129
13,14,0.954999
13,15,0.468571
13,16,0.192205
13,17,0.835954
14,15,0.445386
14,16,0.030023
14,17,0.789690
15,16,0.050895
15,17,0.584967
16,17,0.203141
